type,sector,net_usable_area,net_area,n_rooms,n_bathroom,latitude,longitude,price
departamento,vitacura,140.0,170.0,4.0,4.0,-33.40123,-70.58055999999998,11900
casa,la reina,225.0,659.0,4.0,3.0,-33.4434,-70.5692,17900
casa,las condes,110.0,200.0,3.0,3.0,-33.3932,-70.5505,10300
departamento,lo barnechea,250.0,250.0,3.0,4.0,-33.3567,-70.5426,30000
departamento,providencia,70.0,79.0,2.0,2.0,-33.44425,-70.61317,5700
casa,providencia,460.0,674.0,5.0,5.0,-33.44126,-70.6286,38000
departamento,lo barnechea,165.0,190.0,4.0,4.0,-33.35896,-70.52296,54
departamento,las condes,106.0,113.0,3.0,3.0,-33.40494,-70.58887,9200
casa,nunoa,200.0,315.0,7.0,3.0,-33.45933,-70.58747,10523
departamento,lo barnechea,370.0,540.0,3.0,4.0,-33.3671,-70.5283,55000
departamento,vitacura,130.0,155.0,3.0,2.0,-33.4033,-70.5929,11300
departamento,las condes,142.0,162.0,4.0,4.0,-33.4285,-70.5691,11500
casa,lo barnechea,305.0,1150.0,5.0,5.0,-33.30931,-70.59161,28800
departamento,nunoa,52.0,58.0,2.0,2.0,-33.4481,-70.6256,4589
departamento,las condes,120.0,150.0,3.0,2.0,-33.41892,-70.55919,10500
casa,las condes,263.0,665.0,4.0,2.0,-33.4229,-70.5901,29999
departamento,providencia,90.0,92.0,3.0,2.0,-33.4329,-70.6131,7073
casa,las condes,490.0,3000.0,7.0,6.0,-33.41259,-70.51942,25000
departamento,vitacura,140.0,180.0,4.0,4.0,-33.37708,-70.55159,11400
casa,las condes,175.0,405.0,3.0,2.0,-33.414190000000005,-70.54831999999998,10820
departamento,vitacura,74.0,77.0,2.0,2.0,-33.3761,-70.545,6900
casa,lo barnechea,400.0,840.0,5.0,4.0,-33.33375,-70.54544,35000
departamento,las condes,120.0,120.0,4.0,0.0,-33.4209,-70.5565,9300
departamento,las condes,380.0,440.0,5.0,5.0,-33.40906,-70.5141,28900
departamento,nunoa,69.0,69.0,2.0,2.0,-33.4513,-70.5984,5072
departamento,providencia,200.0,200.0,3.0,3.0,-33.423,-70.6105,14500
departamento,providencia,340.0,340.0,4.0,3.0,-33.4273,-70.6021,22500
casa,vitacura,207.0,300.0,4.0,3.0,-33.37763,-70.56219,22000
departamento,vitacura,122.0,122.0,3.0,3.0,-33.39006,-70.57143,7990
departamento,vitacura,260.0,260.0,4.0,3.0,-33.3951,-70.5783,17100
casa,lo barnechea,400.0,1140.0,6.0,5.0,-33.36296,-70.53546999999998,27500
departamento,vitacura,140.0,140.0,3.0,2.5,-33.40698,-70.59777,7800
casa,lo barnechea,202.0,500.0,3.0,4.0,-33.3386,-70.5617,16900
departamento,providencia,130.0,135.0,3.0,3.0,-33.4307,-70.6016,8800
departamento,nunoa,43.0,46.0,2.0,2.0,-33.45735,-70.62952,2600
casa,lo barnechea,730.0,1767.0,4.0,5.0,-33.3537,-70.5365,51800
departamento,vitacura,220.0,256.0,3.0,3.0,-33.4014,-70.5829,18500
departamento,nunoa,81.0,88.0,4.0,3.0,-33.472390000000004,-70.59897,5598
departamento,las condes,280.0,280.0,3.0,3.0,-33.3805,-70.4964,23450
casa,las condes,280.0,780.0,4.0,4.0,-33.4127,-70.5291,21790
casa,la reina,230.0,425.0,5.0,4.0,-33.4411,-70.5341,18000
casa,providencia,300.0,280.0,7.0,4.0,-33.43145,-70.60933,17061
departamento,las condes,58.0,66.0,2.0,2.0,-33.40033,-70.50269,2703
departamento,las condes,100.0,117.0,2.0,2.0,-33.4256,-70.5874,7500
casa,vitacura,92.0,251.0,4.0,3.0,-33.4019,-70.5894,13000
departamento,providencia,262.0,302.0,3.0,3.0,-33.4217,-70.6016,14470
departamento,vitacura,140.0,140.0,3.0,2.0,-33.3912,-70.594,11500
casa,las condes,220.0,650.0,4.0,3.0,-33.4006,-70.5437,22000
departamento,vitacura,377.0,377.0,6.0,5.0,-33.3692,-70.5777,35000
casa,vitacura,335.0,790.0,4.0,4.0,-33.38856,-70.58097,36000
departamento,providencia,55.0,60.0,2.0,2.0,-33.44141,-70.60683,5731
casa,vitacura,90.0,220.0,3.0,2.0,-33.3817,-70.5453,8400
departamento,las condes,80.0,93.0,2.0,2.0,-33.38961,-70.50013,7800
casa,vitacura,242.0,448.0,6.0,5.0,-33.401740000000004,-70.59039,27500
departamento,providencia,80.0,80.0,3.0,1.0,-33.4386,-70.6076,4900
departamento,las condes,59.0,59.0,3.0,1.0,-33.43027,-70.57519,5250
departamento,las condes,90.0,98.0,2.0,2.0,-33.4183,-70.5678,7248
casa,vitacura,150.0,291.0,3.0,3.0,-33.3904,-70.5723,12700
casa,lo barnechea,344.0,723.0,6.0,5.0,-33.34931,-70.51207,29800
departamento,providencia,250.0,250.0,3.0,3.0,-33.4333,-70.594,14800
departamento,las condes,108.0,108.0,3.0,2.0,-33.4296,-70.5708,7800
departamento,las condes,78.0,88.0,2.0,3.0,-33.4186,-70.5687,7490
departamento,las condes,418.0,664.0,3.0,5.0,-33.3835,-70.5207,28900
departamento,providencia,76.0,80.0,2.0,2.0,-33.44265,-70.61395,6050
departamento,nunoa,93.0,108.0,3.0,2.0,-33.4521,-70.5895,7100
casa,las condes,120.0,220.0,4.0,3.0,-33.409009999999995,-70.53988000000003,8345
departamento,nunoa,40.0,42.0,1.0,1.0,-33.448,-70.6098,3800
departamento,vitacura,90.0,108.0,2.0,2.0,-33.3991,-70.58051999999998,8900
casa,las condes,69.0,153.0,4.0,1.0,-33.4154,-70.5382,5660
departamento,providencia,168.0,168.0,4.0,3.0,-33.4244,-70.601,10550
casa,las condes,200.0,350.0,3.0,2.0,-33.4245,-70.5602,12334
departamento,providencia,166.0,206.0,5.0,4.0,-33.43128,-70.59946,12000
casa,vitacura,179.0,282.0,5.0,4.0,-33.37852,-70.55192,13000
departamento,lo barnechea,95.0,108.0,2.0,2.0,-33.3593,-70.5236,11000
departamento,las condes,140.0,165.0,4.0,4.0,-33.39938,-70.56874,12900
casa,las condes,230.0,835.0,4.0,3.0,-33.412659999999995,-70.52996999999998,16800
casa,vitacura,180.0,280.0,4.0,2.0,-33.38842,-70.55207,14500
departamento,las condes,91.0,99.0,2.0,2.0,-33.3887,-70.5003,7900
departamento,providencia,104.0,120.0,3.0,3.0,-33.43,-70.5917,8500
departamento,las condes,140.0,150.0,4.0,3.0,-33.4249,-70.5866,9895
departamento,las condes,126.0,144.0,3.0,3.0,-33.4094,-70.5436,12171
departamento,vitacura,93.0,93.0,3.0,2.0,-33.37937,-70.57288,8300
departamento,vitacura,260.0,300.0,3.0,4.0,-33.40558,-70.59553000000002,13500
casa,vitacura,148.0,180.0,5.0,4.0,-33.378,-70.5454,12900
departamento,las condes,123.0,154.0,3.0,3.0,-33.421170000000004,-70.50105,9500
departamento,vitacura,130.0,130.0,4.0,2.0,-33.3971,-70.5892,13890
departamento,providencia,127.0,127.0,2.0,3.0,-33.43163,-70.61208,9883
casa,las condes,178.0,258.0,5.0,3.0,-33.39322,-70.54205999999998,12000
casa,la reina,164.0,390.0,3.0,3.0,-33.4381,-70.5209,14600
departamento,las condes,100.0,100.0,3.0,2.0,-33.421170000000004,-70.50105,7600
casa,vitacura,242.0,448.0,4.0,4.0,-33.38279,-70.57293,22400
departamento,providencia,120.0,140.0,3.0,2.0,-33.42566,-70.59195,8650
departamento,lo barnechea,264.0,264.0,4.0,3.0,-33.3343,-70.5089,19500
departamento,nunoa,50.0,53.0,2.0,2.0,-33.4512,-70.6179,3980
departamento,nunoa,63.0,69.0,2.0,2.0,-33.45344,-70.61336,4990
casa,lo barnechea,166.0,305.0,6.0,5.0,-33.35516,-70.5462,16000
casa,la reina,359.0,659.0,4.0,4.0,-33.4544,-70.5159,20690
departamento,vitacura,120.0,140.0,3.0,3.0,-33.37763,-70.56219,11250
departamento,vitacura,120.0,120.0,3.0,3.0,-33.37814,-70.5537,11000
casa,las condes,200.0,456.0,4.0,3.0,-33.41033,-70.56634,80
casa,la reina,184.0,750.0,4.0,3.0,-33.4591,-70.5231,16990
departamento,las condes,151.0,151.0,3.0,2.0,-33.4222,-70.5792,11650
casa,las condes,102.0,210.0,4.0,2.0,-33.428000000000004,-70.5557,9253
casa,lo barnechea,220.0,600.0,5.0,4.0,-33.366440000000004,-70.52869,21500
departamento,vitacura,230.0,310.0,4.0,0.0,-33.3978,-70.5923,24000
casa,las condes,170.0,270.0,4.0,3.0,-33.3996,-70.5495,12000
casa,las condes,140.0,374.0,3.0,2.0,-33.4141,-70.5332,13000
departamento,nunoa,77.0,85.0,3.0,2.0,-33.4636,-70.59477,5070
casa,las condes,300.0,700.0,5.0,5.0,-33.41663,-70.53171,22500
departamento,nunoa,85.0,101.0,3.0,2.0,-33.4541,-70.60386,6400
departamento,las condes,101.0,121.0,4.0,4.0,-33.42393,-70.57578000000002,10000
casa,nunoa,117.0,272.0,4.0,2.0,-33.43522,-70.58435,10770
casa,las condes,331.0,560.0,5.0,4.0,-33.42072,-70.5937,34000
casa,lo barnechea,478.0,1036.0,5.0,3.0,-33.3403,-70.5098,25890
departamento,nunoa,65.0,69.0,2.0,2.0,-33.4557,-70.5784,5300
casa,vitacura,529.0,5066.0,5.0,4.0,-33.3736,-70.5575,95000
departamento,lo barnechea,431.0,731.0,6.0,5.0,-33.3606,-70.5398,44500
departamento,nunoa,70.0,76.0,2.0,2.0,-33.44797,-70.59668,5770
departamento,las condes,210.0,230.0,3.0,3.0,-33.4181,-70.5888,14290
casa,las condes,321.0,800.0,5.0,5.0,-33.415420000000005,-70.52956,22190
departamento,las condes,199.0,222.0,4.0,4.0,-33.37769,-70.52464,17950
casa,la reina,180.0,550.0,5.0,4.0,-33.44062,-70.53074000000002,13450
casa,la reina,149.0,210.0,3.0,3.0,-33.454190000000004,-70.55866999999998,6972
casa,lo barnechea,150.0,315.0,5.0,3.0,-33.3306,-70.50546999999997,11400
departamento,nunoa,58.0,63.0,3.0,2.0,-33.4691,-70.6012,3823
casa,la reina,205.0,647.0,6.0,3.0,-33.44717,-70.53668,13371
departamento,vitacura,153.0,159.0,3.0,3.0,-33.37763,-70.56219,10500
departamento,las condes,55.0,65.0,1.0,2.0,-33.4048,-70.5592,7000
casa,las condes,270.0,900.0,4.0,3.0,-33.4069,-70.5224,23900
casa,nunoa,122.0,445.0,5.0,2.0,-33.4456,-70.5885,16259
departamento,providencia,100.0,100.0,2.0,2.0,-33.43029,-70.60899,6275
casa,la reina,129.0,234.0,3.0,3.0,-33.4308,-70.554,9500
casa,la reina,135.0,330.0,3.0,2.0,-33.4552,-70.568,9762
departamento,las condes,170.0,170.0,3.0,2.0,-33.38298,-70.53289000000001,13500
casa,las condes,85.0,255.0,4.0,2.0,-33.421170000000004,-70.50105,8525
casa,lo barnechea,415.0,1172.0,7.0,5.0,-33.3371,-70.5551,29500
casa,lo barnechea,300.0,1054.0,5.0,5.0,-33.3586,-70.5389,29500
departamento,las condes,118.0,118.0,1.0,2.0,-33.4172,-70.58965,11900
departamento,las condes,112.0,140.0,3.0,3.0,-33.4055,-70.567,10600
departamento,las condes,141.0,163.0,4.0,3.0,-33.42918,-70.56566,11890
departamento,las condes,155.0,192.0,3.0,3.0,-33.41328,-70.59399,11970
departamento,nunoa,68.0,98.0,3.0,1.0,-33.46667,-70.59146,2890
departamento,providencia,120.0,132.0,4.0,3.0,-33.43298,-70.60578000000001,9100
departamento,vitacura,154.0,284.0,3.0,3.0,-33.37937,-70.57288,24995
casa,lo barnechea,290.0,850.0,4.0,4.0,-33.33741,-70.50565,17000
departamento,las condes,102.0,111.0,3.0,2.0,-33.421170000000004,-70.50105,8990
casa,vitacura,370.0,1400.0,4.0,3.0,-33.3731,-70.557,35850
departamento,las condes,140.0,160.0,4.0,4.0,-33.39767,-70.5072,12500
departamento,nunoa,88.0,91.0,3.0,2.0,-33.45147,-70.6186,6400
casa,lo barnechea,470.0,980.0,5.0,0.0,-33.3598,-70.5366,37950
departamento,providencia,90.0,96.0,3.0,2.0,-33.43063,-70.60129,7250
casa,las condes,189.0,430.0,4.0,2.0,-33.4151,-70.5322,13990
casa,las condes,250.0,400.0,4.0,3.0,-33.40694000000001,-70.52861,17700
departamento,nunoa,80.0,83.0,3.0,2.0,-33.45055,-70.59169,6348
departamento,vitacura,107.0,110.0,3.0,3.0,-33.3845,-70.5375,9000
casa,providencia,191.0,436.0,3.0,2.0,-33.4302,-70.5886,17800
casa,las condes,140.0,590.0,3.0,2.0,-33.40202,-70.5438,16110
departamento,providencia,76.87,87.47,3.0,2.0,-33.44103,-70.62419,6300
departamento,nunoa,125.0,143.0,3.0,3.0,-33.44627,-70.5974,10000
departamento,providencia,125.0,135.0,2.0,3.0,-33.42175,-70.60051,8600
casa,las condes,167.0,1224.0,4.0,3.0,-33.3787,-70.4987,17500
casa,las condes,320.0,730.0,5.0,4.0,-33.41022,-70.5262,25500
departamento,las condes,80.0,90.0,2.0,2.0,-33.3884,-70.54002,8600
departamento,providencia,65.0,71.0,2.0,2.0,-33.42872,-70.61856,5374
departamento,vitacura,130.0,147.0,4.0,3.0,-33.40033,-70.58779,12750
casa,las condes,400.0,897.0,4.0,4.0,-33.39643,-70.52235999999998,35000
casa,las condes,195.0,230.0,6.0,4.0,-33.38859,-70.50153,11800
casa,lo barnechea,1200.0,3700.0,4.0,4.0,-33.3407,-70.5302,110000
departamento,lo barnechea,468.0,468.0,5.0,3.0,-33.3382,-70.5514,46000
departamento,vitacura,208.0,245.0,4.0,5.0,-33.37763,-70.56219,18000
departamento,las condes,112.0,130.0,2.0,2.0,-33.4139,-70.5674,12340
casa,las condes,198.0,310.0,5.0,3.0,-33.4219,-70.5513,14000
departamento,las condes,40.0,40.0,1.0,1.0,-33.40963,-70.54764,4600
casa,las condes,168.0,375.0,4.0,2.0,-33.4129,-70.5472,14800
casa,lo barnechea,445.0,1005.0,7.0,5.0,-33.36384,-70.54344,28000
casa,nunoa,131.0,390.0,5.0,3.0,-33.4493,-70.5755,11180
departamento,nunoa,70.0,81.0,2.0,2.0,-33.45488,-70.59212,4500
departamento,las condes,72.0,77.0,2.0,2.0,-33.41696,-70.56893000000002,6502
casa,vitacura,200.0,280.0,5.0,4.0,-33.38342,-70.55773,11900
departamento,vitacura,132.0,132.0,3.0,3.0,-33.3742,-70.5492,10300
casa,las condes,191.81,388.18,6.0,4.0,-33.4231,-70.54658,13000
departamento,providencia,45.0,45.0,1.0,1.0,-33.4312,-70.6192,3900
casa,lo barnechea,420.0,1580.0,4.0,3.0,-33.3374,-70.538,33400
departamento,las condes,70.0,130.0,1.0,2.0,-33.419270000000004,-70.5722,6530
departamento,nunoa,90.0,97.0,2.0,2.0,-33.45398,-70.57701999999998,5951
departamento,las condes,124.0,134.0,4.0,3.0,-33.40033,-70.54347,11930
departamento,nunoa,110.0,110.0,3.0,2.0,-33.4514,-70.61891999999997,6441
casa,lo barnechea,500.0,1300.0,6.0,5.0,-33.3208,-70.5506,37000
casa,vitacura,250.0,500.0,3.0,3.0,-33.38687,-70.5818,24500
casa,las condes,275.0,405.0,5.0,3.0,-33.4101,-70.53262,16490
casa,lo barnechea,190.0,262.0,4.0,5.0,-33.33326,-70.51164,13800
casa,las condes,412.0,1202.0,5.0,5.0,-33.3797,-70.4983,36277
casa,vitacura,92.0,250.0,3.0,2.0,-33.39332,-70.57605,12950
casa,la reina,180.0,518.0,4.0,2.0,-33.43336,-70.53809,14300
departamento,lo barnechea,260.0,380.0,2.0,5.0,-33.3645,-70.546,32000
casa,la reina,269.0,583.0,5.0,3.0,-33.4426,-70.562,13900
departamento,nunoa,10.0,104.0,4.0,2.0,-33.4579,-70.5827,4897
casa,vitacura,280.0,680.0,3.0,3.0,-33.401959999999995,-70.59106,35000
departamento,nunoa,71.0,85.0,2.0,2.0,-33.447,-70.5969,6150
departamento,providencia,100.0,114.0,3.0,2.0,-33.4299,-70.6155,8000
departamento,lo barnechea,200.0,200.0,4.0,3.0,-33.3598,-70.5221,13990
departamento,las condes,148.0,154.0,4.0,3.0,-33.40033,-70.50269,11900
departamento,lo barnechea,120.0,220.0,3.0,3.0,-33.36196,-70.51711,11500
casa,lo barnechea,250.0,900.0,4.0,3.0,-33.345,-70.524,27900
departamento,nunoa,68.0,72.0,3.0,2.0,-33.454570000000004,-70.58256,5100
casa,lo barnechea,420.0,1201.0,4.0,3.0,-33.3502,-70.5152,27290
casa,lo barnechea,330.0,2040.0,4.0,4.0,-33.3415,-70.5047,28000
casa,las condes,191.0,851.0,6.0,5.0,-33.42014,-70.53058,25000
departamento,las condes,362.0,376.0,5.0,4.0,-33.421170000000004,-70.50105,22500
departamento,las condes,130.0,149.0,4.0,3.0,-33.42756,-70.57749,9800
casa,la reina,297.0,648.0,5.0,2.0,-33.4501,-70.5656,14631
departamento,providencia,74.0,79.0,2.0,2.0,-33.45198,-70.60151,5373
casa,lo barnechea,679.0,1268.0,6.0,4.0,-33.3344,-70.5277,48000
departamento,nunoa,90.0,100.0,3.0,2.0,-33.45503,-70.59317,7450
departamento,vitacura,124.0,154.0,2.0,3.0,-33.3742,-70.5464,10500
casa,lo barnechea,400.0,1720.0,4.0,4.0,-33.34291,-70.52606999999998,29800
departamento,vitacura,183.0,200.0,4.0,4.0,-33.381609999999995,-70.53841,12000
departamento,nunoa,100.0,109.0,3.0,2.0,-33.4544,-70.62189000000002,5700
casa,las condes,180.0,300.0,4.0,2.0,-33.4161,-70.5461,11700
departamento,las condes,140.0,185.0,3.0,3.0,-33.40033,-70.50269,14980
casa,las condes,421.0,1127.0,5.0,5.0,-33.40062,-70.50475,32000
departamento,las condes,86.0,96.0,2.0,2.0,-33.41956,-70.5678,7200
casa,lo barnechea,290.0,620.0,6.0,5.0,-33.35801,-70.54719,27000
casa,vitacura,850.0,5010.0,4.0,6.0,-33.36563,-70.56736,75000
casa,providencia,100.0,92.0,4.0,2.0,-33.432970000000005,-70.61991,8500
casa,las condes,3217.0,5650.0,32.0,0.0,-33.395,-70.513,168392
departamento,las condes,78.0,86.0,3.0,2.0,-33.41878,-70.56730999999998,6500
departamento,las condes,130.0,158.0,4.0,2.0,-33.40744,-70.56430999999998,10900
departamento,la reina,68.0,68.0,2.0,2.0,-33.45441,-70.56981,6200
departamento,vitacura,140.0,155.0,4.0,3.0,-33.40608,-70.59689,10680
casa,la reina,150.0,300.0,3.0,3.0,-33.45867,-70.56806,16325
casa,las condes,346.0,346.0,4.0,4.0,-33.4106,-70.5946,39790
casa,lo barnechea,300.0,1800.0,3.0,3.0,-33.361999999999995,-70.4868,32000
departamento,providencia,80.0,88.0,3.0,3.0,-33.42498,-70.60815,6800
casa,las condes,580.0,2000.0,5.0,5.0,-33.3868,-70.5304,50800
casa,nunoa,90.0,150.0,5.0,3.0,-33.45832,-70.57414,6391
departamento,las condes,46.0,46.0,1.0,1.0,-33.421170000000004,-70.50105,5900
casa,la reina,236.0,587.0,4.0,0.0,-33.4347,-70.5562,13050
casa,la reina,132.0,360.0,3.0,3.0,-33.45536,-70.55986,11000
departamento,lo barnechea,173.0,229.0,3.0,3.0,-33.34921,-70.54665,17850
departamento,las condes,125.0,140.0,3.0,2.0,-33.429520000000004,-70.572,11000
departamento,las condes,120.0,135.0,3.0,3.0,-33.42362,-70.57688,9490
departamento,las condes,226.0,277.0,3.0,3.0,-33.411840000000005,-70.58745,23000
departamento,vitacura,86.0,91.0,2.0,2.0,-33.38708,-70.56002,8000
departamento,las condes,70.0,70.0,2.0,2.0,-33.4155,-70.5903,7400
departamento,nunoa,40.0,43.0,1.0,1.0,-33.46938,-70.60099,2720
departamento,nunoa,96.0,108.0,3.0,2.0,-33.436,-70.58,6800
casa,vitacura,140.0,190.0,4.0,2.0,-33.38713,-70.55435,12000
departamento,nunoa,51.0,51.0,2.0,2.0,-33.450790000000005,-70.62961999999997,3795
departamento,las condes,56.0,66.0,2.0,2.0,-33.4157,-70.6042,6600
departamento,las condes,140.0,170.0,4.0,4.0,-33.4059,-70.564,14600
casa,las condes,408.0,1100.0,6.0,6.0,-33.40201,-70.51959000000002,43000
departamento,nunoa,48.0,48.0,2.0,2.0,-33.45355,-70.60976,4500
departamento,las condes,140.0,148.0,4.0,4.0,-33.40406,-70.5806,10100
departamento,las condes,316.0,324.0,3.0,0.0,-33.421170000000004,-70.50105,29800
casa,las condes,550.0,1500.0,5.0,5.0,-33.413000000000004,-70.5269,24800
departamento,las condes,115.33,125.09,4.0,3.0,-33.41773,-70.57466,8500
departamento,vitacura,101.0,181.0,2.0,3.0,-33.4013,-70.5862,13800
departamento,vitacura,160.0,180.0,3.0,3.0,-33.3933,-70.5944,17900
casa,lo barnechea,230.0,890.0,3.0,3.0,-33.351420000000005,-70.51033000000002,19000
departamento,las condes,102.0,112.0,3.0,2.0,-33.421170000000004,-70.50105,9190
